0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:17 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:17 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:17 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:17 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:20 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:20 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:20 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:20 +0900] "GET /qna/list.do HTTP/1.1" 200 11120
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:21 +0900] "GET /qna/qWrite HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:24 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:27 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:36 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:37 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:37 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:37 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
